date,precip_cumulative,swe,tmean
1-Oct-11,-9999,0,48
2-Oct-11,0.13,0,48
3-Oct-11,0.13,0,45
4-Oct-11,0.13,0,37
5-Oct-11,1.46,0,28
6-Oct-11,1.59,0,25
7-Oct-11,1.73,0,30
8-Oct-11,1.86,0,36
9-Oct-11,1.86,0,37
10-Oct-11,1.86,0,36
11-Oct-11,2.13,0,40
12-Oct-11,2.13,0,43
13-Oct-11,2.26,0,44
14-Oct-11,2.26,0,44
15-Oct-11,2.26,0,42
16-Oct-11,2.26,0,41
17-Oct-11,2.26,0,43
18-Oct-11,2.26,0,43
19-Oct-11,2.26,0,39
20-Oct-11,2.26,0,39
21-Oct-11,2.26,0,40
22-Oct-11,2.26,0,42
23-Oct-11,2.26,0,40
24-Oct-11,2.26,0,36
25-Oct-11,2.26,0,34
26-Oct-11,2.26,0,35
27-Oct-11,2.26,0,36
28-Oct-11,2.26,0,36
29-Oct-11,2.26,0.62,39
30-Oct-11,2.26,0.74,37
31-Oct-11,2.26,0.74,36
1-Nov-11,2.26,0.74,33
2-Nov-11,2.26,0.74,35
3-Nov-11,2.26,0.74,29
4-Nov-11,2.53,1.22,17
5-Nov-11,2.66,1.22,14
6-Nov-11,2.93,1.7,19
7-Nov-11,2.93,1.7,13
8-Nov-11,2.93,1.7,18
9-Nov-11,2.93,1.7,25
10-Nov-11,3.06,1.82,27
11-Nov-11,3.19,1.82,30
12-Nov-11,3.19,1.94,30
13-Nov-11,3.19,2.06,31
14-Nov-11,3.19,2.06,31
15-Nov-11,3.19,2.06,28
16-Nov-11,3.19,2.06,29
17-Nov-11,3.19,2.18,29
18-Nov-11,3.19,2.3,28
19-Nov-11,3.19,2.42,22
20-Nov-11,3.33,2.42,20
21-Nov-11,3.33,2.42,19
22-Nov-11,3.33,2.42,25
23-Nov-11,3.33,2.54,37
24-Nov-11,3.33,2.66,28
25-Nov-11,3.33,2.54,28
26-Nov-11,3.33,2.54,33
27-Nov-11,3.33,2.54,32
28-Nov-11,3.33,2.54,29
29-Nov-11,3.33,2.54,31
30-Nov-11,3.33,2.66,23
1-Dec-11,3.46,2.54,17
2-Dec-11,3.46,2.54,26
3-Dec-11,3.46,2.42,22
4-Dec-11,3.46,2.42,27
5-Dec-11,3.46,-9999,24
6-Dec-11,3.46,2.3,24
7-Dec-11,3.46,2.42,27
8-Dec-11,3.46,2.66,26
9-Dec-11,3.46,2.42,23
10-Dec-11,3.46,2.42,20
11-Dec-11,3.46,2.3,17
12-Dec-11,3.46,2.3,14
13-Dec-11,3.46,2.06,15
14-Dec-11,3.46,2.06,16
15-Dec-11,3.46,2.18,20
16-Dec-11,3.46,2.18,30
17-Dec-11,3.46,2.42,32
18-Dec-11,3.46,2.54,25
19-Dec-11,3.46,2.54,25
20-Dec-11,3.46,2.42,31
21-Dec-11,3.46,2.66,27
22-Dec-11,3.46,2.42,19
23-Dec-11,3.46,2.06,24
24-Dec-11,3.46,2.42,25
25-Dec-11,3.46,2.54,24
26-Dec-11,3.46,2.54,24
27-Dec-11,3.46,2.54,25
28-Dec-11,3.46,2.42,32
29-Dec-11,3.46,2.66,30
30-Dec-11,3.46,2.18,26
31-Dec-11,3.46,1.82,26
1-Jan-12,3.46,1.94,30
2-Jan-12,3.46,2.18,29
3-Jan-12,3.46,1.82,30
4-Jan-12,3.46,1.22,32
5-Jan-12,3.46,1.1,31
6-Jan-12,3.46,1.1,25
7-Jan-12,3.46,1.1,26
8-Jan-12,3.46,1.22,35
9-Jan-12,3.46,1.22,32
10-Jan-12,3.46,1.1,29
11-Jan-12,3.46,0.98,27
12-Jan-12,3.46,1.22,25
13-Jan-12,3.46,1.22,25
14-Jan-12,3.46,1.46,25
15-Jan-12,3.46,1.34,21
16-Jan-12,3.46,1.58,15
17-Jan-12,3.46,1.82,16
18-Jan-12,3.46,1.34,29
19-Jan-12,3.46,1.22,25
20-Jan-12,4.53,1.22,34
21-Jan-12,5.33,2.66,17
22-Jan-12,5.99,2.9,17
23-Jan-12,7.19,3.14,-9999
24-Jan-12,7.46,-9999,33
25-Jan-12,7.99,4.22,30
26-Jan-12,7.99,3.98,27
27-Jan-12,7.99,3.86,26
28-Jan-12,7.99,3.5,25
29-Jan-12,7.99,3.26,26
30-Jan-12,7.99,3.02,26
31-Jan-12,7.99,2.66,28
1-Feb-12,7.99,2.42,22
2-Feb-12,7.99,2.06,26
3-Feb-12,7.99,1.58,22
4-Feb-12,7.99,0.86,19
5-Feb-12,7.99,0.26,18
6-Feb-12,7.99,0,24
7-Feb-12,7.99,0,29
8-Feb-12,7.99,0,30
9-Feb-12,7.99,0,29
10-Feb-12,7.99,0,28
11-Feb-12,7.99,0,24
12-Feb-12,7.99,0,25
13-Feb-12,8.39,0,19
14-Feb-12,8.39,4.06,18
15-Feb-12,8.53,3.94,18
16-Feb-12,8.66,3.82,21
17-Feb-12,8.66,3.7,24
18-Feb-12,8.66,4.18,20
19-Feb-12,8.66,4.3,17
20-Feb-12,8.66,4.3,25
21-Feb-12,8.79,4.3,32
22-Feb-12,8.79,4.3,35
23-Feb-12,8.79,5.38,33
24-Feb-12,8.79,7.06,33
25-Feb-12,8.79,8.02,27
26-Feb-12,8.79,8.5,22
27-Feb-12,9.06,8.62,18
28-Feb-12,9.06,8.74,17
29-Feb-12,9.72,8.74,21
1-Mar-12,9.72,9.1,17
2-Mar-12,9.85,8.98,23
3-Mar-12,9.85,9.1,33
4-Mar-12,9.85,9.34,33
5-Mar-12,9.85,9.58,32
6-Mar-12,9.99,9.58,19
7-Mar-12,9.99,9.46,24
8-Mar-12,10.12,9.46,34
9-Mar-12,10.12,9.46,32
10-Mar-12,10.12,9.46,30
11-Mar-12,10.12,9.34,28
12-Mar-12,10.12,9.22,28
13-Mar-12,10.12,9.1,29
14-Mar-12,10.25,9.1,32
15-Mar-12,10.25,9.1,35
16-Mar-12,10.92,8.98,32
17-Mar-12,12.65,9.58,20
18-Mar-12,12.92,10.54,14
19-Mar-12,13.18,10.54,15
20-Mar-12,13.32,10.42,29
21-Mar-12,13.32,10.66,32
22-Mar-12,13.32,10.66,38
23-Mar-12,13.45,10.54,35
24-Mar-12,13.45,10.42,37
25-Mar-12,13.58,10.42,25
26-Mar-12,13.85,10.42,24
27-Mar-12,13.85,10.18,28
28-Mar-12,14.38,10.42,30
29-Mar-12,14.38,10.54,32
30-Mar-12,14.52,10.66,41
31-Mar-12,14.65,10.66,30
